,pPTEN,pPI3K,pAKT,pGSK3B,LPS,bpV,LY294002,HDACi,LiCl,ATP,ADP,P2Y12G
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0499049904990499,0.02010734935788731,0.041933967672730166,8.874801009484525e-08,8.849249172081833e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0998099809980998,0.03981039423382937,0.0819004318458929,1.3201961065333618e-06,2.551752645447855e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1497149714971497,0.05911726323953692,0.11999169780134203,6.273685619281219e-06,1.8247948016800917e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1996199619961996,0.07803592213238732,0.15629574135855753,1.860180968584956e-05,7.282495552674341e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2495249524952495,0.09657417685481716,0.19089642217090555,4.254832787867938e-05,2.104682892697242e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2994299429942994,0.11473967608734592,0.22387365584065955,8.258852517430533e-05,4.956621004808478e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3493349334933493,0.13253991472918222,0.2553036186399408,0.0001431037361225577,1.0136057390046589e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3992399239923992,0.14998223665198837,0.2852589068613714,0.00022820736003940827,1.8689078178151527e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4491449144914491,0.16707383774093887,0.3138087108420698,0.0003415919430024807,3.1840168946168883e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.499049904990499,0.18382176877504,0.3410189750517454,0.0004864454425118712,5.096932232266695e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5489548954895489,0.20023293822972763,0.36695254968464575,0.0006654136742168417,7.758622498980604e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5988598859885989,0.21631411503325412,0.3916693362583129,0.0008805912896444733,0.00011330396935477432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6487648764876487,0.23207193126517037,0.4152264258961132,0.001133537447784584,0.000159812811097093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6986698669866986,0.2475128848030877,0.4376782310487781,0.0014253097743923753,0.00021885489746724114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7485748574857485,0.2626433419224299,0.4590766109970486,0.0017565043053997856,0.0002922015834243353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7984798479847984,0.27746953985335265,0.47947099165823764,0.002127300579049526,0.00038163241172820824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8483848384838484,0.2919975892965235,0.49890848004873617,0.0025375092092906316,0.0004889162526447349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8982898289828982,0.3062334768968766,0.5174339731922799,0.0029866197046152076,0.0006157947899124228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9481948194819482,0.32018306766765087,0.5350902605444975,0.003473845406325689,0.0007639689429980091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.998099809980998,0.3338521073786948,0.5519181220246899,0.003998165182867476,0.0009350871460695678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.048004800480048,0.3472462250001051,0.5679564330768248,0.004558368645930322,0.0011307305354840745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0979097909790978,0.3603709348628889,0.5832422339136509,0.0051530804200799795,0.001352413561908607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1478147814781476,0.37323163911581564,0.5978108364756539,0.005780806270182729,0.0016015683003261936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1977197719771977,0.38583362981476804,0.6116958869616832,0.006439946499677851,0.0018795470319479322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2476247624762475,0.3981820912884313,0.6249294611049652,0.0071288360206095466,0.0021876115980529976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2975297529752974,0.41028210217000166,0.6375421222743708,0.007845752433286788,0.0025269363971598255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3474347434743474,0.4221386376756706,0.649563006485163,0.008588947658350506,0.00289860186257186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3973397339733973,0.43375657158326986,0.661019876803856,0.009356653617017192,0.0033035975024573146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4472447244724471,0.44514067842033156,0.6719391987019167,0.010147105453711083,0.003742818696194229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.497149714971497,0.45629563539545426,0.6823461918564043,0.01095854646708786,0.004217069519264378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.547054705470547,0.4672260244870758,0.6922648959260346,0.011789243558437683,0.004727062224266456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5969596959695969,0.4779363343375532,0.7017182205956475,0.01263749238508638,0.005273419717573372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6468646864686467,0.48843096222066995,0.7107280010033205,0.013501625446877922,0.005856677312024439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6967696769676968,0.4987142159616463,0.7193150506802456,0.014380019954368902,0.006477284303227813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7466746674667466,0.5087903157165774,0.7274992034807206,0.015271098874791809,0.007135607512488606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7965796579657964,0.5186633957960431,0.7352993574300488,0.016173331332771282,0.007831935315538843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8464846484648463,0.5283375065896471,0.742733533040631,0.017085248115989986,0.008566476042729265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
